prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the bank's policy on large cash withdrawals?,"We may place reasonable restrictions on when and how you make any large cash withdrawal, and we may require a document releasing us from liability in case of robbery."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the bank refuse a withdrawal request due to disagreements over the terms?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a stop payment be requested after the check has been cashed?,"No, a stop payment cannot be effective if the bank has already certified, paid or become responsible for the check."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still be held responsible for paying an item after requesting a stop payment?,"No, we will not inform you about applicable state law."
You are a helpful assistant who can answer questions about the topic in the dataset.,What account number and check number should I provide in order for your automated system to identify the item?,"You need to provide the account number on which the check is drawn, along with either the exact check number."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to stop a check from being cashed?,"The payee name and exact amount, or The payee name and range of amounts."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you refuse a payment to a payee with a similar name if you believe it is the same payee?,"We may, but we are not liable if we don’t refuse the payment."
You are a helpful assistant who can answer questions about the topic in the dataset.,How long does a stop payment order last on a personal account?,One year
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I place a new stop payment order that will be effective for one calendar year?,"Yes, an additional fee will be charged."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the automatic renewal period for my subscription?,A calendar year with automatic renewal annually for up to six additional years.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I opt-out of automatic renewal fee with Chase?,"Notify us via online channel, call the number on your statement, or contact your Chase team."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of checks can I place a stop payment on?,"cashier’s check, teller’s check or certified check"
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can we still be liable if our lost, stolen, or destroyed check is presented for payment?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I get a refund for a stopped check?,"No, you can only get a refund within 90 days of the original check's issue date."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I get a refund or replacement check if the original check is used for payment within 90 days?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the account numbers used for funds transfers?,Every other party involved in the funds transfer will also have an assigned account number.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if the funds transfer instruction provides both a bank number or account number and a name that identifies a different person?,The bank involved in the transfer may rely on any bank number or account number you provide.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do banks identify an account,"By its number, as we rely exclusively on this information"
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of accounts is the bank allowed to restrict withdrawals from without providing notice?,"Money market accounts, excluding NOW accounts."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are gettable or transferable instruments used for?,Making transfers to third parties from savings accounts.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the required notice period for account withdrawal?,7 days
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a non-customer cash a check at one of your branches?,We may charge a fee or refuse to cash it and may require identification.
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can we write a check that is incomplete, future-dated, or has conditions limiting payment?",No
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if you don,"may pay such checks, and if we pay a conditional check, the conditions do not apply to us."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is there a minimum age limit for paying bills?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of signature is accepted by the issuer?,A card specifies that multiple signatures are required or you have otherwise instructed us to do so.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I use a facsimile or computer-generated signature?,"No, you must provide a real signature."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are payments checked for authenticity?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Does returning a check because of a discrepancy in the signature or amount write-in voids liability for the issuing bank?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an individual be required to pay a check if they select one option when presented with it?,"No, the institution has no duty to prevent a check from being presented more than once and may disregard any information on the check other than the identification of the paying bank."
You are a helpful assistant who can answer questions about the topic in the dataset.,What should be done with MICR-encoded information on a check?,Not visually inspected.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a substitute check?,A substitute check is a check that has been rewritten with the payee's name written on it in the payor's own handwriting.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the substitute checks used for?,They are used as a reduced image of the front and back of the original check.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still use the substitute check as proof of payment?,"Yes, you can use it the same way you would use the original check."
You are a helpful assistant who can answer questions about the topic in the dataset.,What rights do I have when receiving substitute checks?,"You have the same rights as specified in this notice, except for original checks and electronic debits."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my rights as a consumer regarding substitute checks?,"In certain cases, federal law provides a special procedure that allows you to request a refund for losses you suffer if a substitute check is posted to your account (for example, if you think that we made an error on the check)"
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of recovery can I expect if I withdrew the wrong amount from my account?,The losses you may attempt to recover under this procedure may include the amount that was withdrawn from your account and fees.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the limit on my refund for overdraft fees charged during withdrawal?,"The amount of your refund is limited to your loss or the substitute check amount, whichever is less."
You are a helpful assistant who can answer questions about the topic in the dataset.,"If my account is an interest-bearing account, what happens if I lose more than the substitute check?",You may be able to recover additional amounts under other laws.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the deadline for receiving my full refund?,"{""timeframe"": ""Within 10 business days after claim receipt + remainder within 45 calendar days after claim receipt"", ""amount"": ""$2,500""}"
You are a helpful assistant who can answer questions about the topic in the dataset.,"Will a refund, including interest, be issued if the substitute check is later determined to have been correctly posted?",
You are a helpful assistant who can answer questions about the topic in the dataset.,How do you make a claim for a refund?,"Contact JPMorgan Chase Bank, N.A. by mail or online through their website to initiate the claim process."
You are a helpful assistant who can answer questions about the topic in the dataset.,Must you contact the company within 40 calendar days of receiving a substitute check or account statement?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What information do I need to provide for my disputed withdrawal?,he amount withdrawn was incorrect; An estimate of the amount of your loss; An explanation of why the substitute check you received is insufficient to confirm that you suffered a loss; and The following information to help us identify the substitute check.
You are a helpful assistant who can answer questions about the topic in the dataset.,What information should be included on a substitute check?,"the check number, the name of the person to whom you wrote the check, and the amount of the check."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when you don’t use your account?,"You will have to pay a fee or expense, and the account may be closed if no customer-initiated activity is detected."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a checking or savings account remain active if it does not meet the specified criteria for at least 24 months?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions for an account to become active after a CD renewal or renegotiation?,The CD will be considered inactive until a subsequent maturity or early withdrawal.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still make debit card purchases if my account is considered dormant?,"No, you will not be able to make debit card purchases."
You are a helpful assistant who can answer questions about the topic in the dataset.,What can I do with my account?,"Making transfers, deposits or withdrawals and accessing your account on our Digital Platforms."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a deposit is made on a business day?,"If you make a deposit with a banker at a branch on a business day, we will consider that day to be the day of your deposit."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if I make a deposit at a Chase ATM on a non-business day or after the cutoff time?,"If you make a deposit on a day that is not a business day, we will consider the previous business day as the day of your deposit. However, if you make an ATM deposit after the cutoff time on a business day, it will be processed on the current business day."
You are a helpful assistant who can answer questions about the topic in the dataset.,What days are considered business days for deposit availability?,"Every day, except Saturdays, Sundays and federal holidays."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the cutoff time for deposits at ATMs?,11 p.m. Eastern Time (8 p.m. Pacific Time)
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the cutoff date for making bank deposits?,The next business day
You are a helpful assistant who can answer questions about the topic in the dataset.,What address do I use for check deposits made by mail?,"National Bank By Mail PO Box 6185 Westerville, OH 43086"
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to mail deposits sent to a different Chase facility than the one they were mailed to?,"They are forwarded to the National Bank By Mail facility in Westerville, Ohio and will be considered received on the date of receipt by that facility."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the typical availability of wire transfers, electronic direct deposits, and cash deposits for most accounts?","Generally, these services will become available on the day your deposit is received."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will some or all deposits made at an ATM be available on the same day we receive our deposit?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the second business day availability for JPMorgan Chase Bank's deposit account agreement?,"In some cases, we may not make all of the funds that you deposited by check available on the same day."
You are a helpful assistant who can answer questions about the topic in the dataset.,When are the funds from my deposit typically available?,The first $275 of these deposits will be available on the first business day after the day of your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are available same-day for the Chase Analysis Business Checking account?,"Wire transfers, electronic direct deposits, and cash deposits made with a banker at a branch or at an ATM."
You are a helpful assistant who can answer questions about the topic in the dataset.,When are funds from my deposit available?,On the next business day after the day we receive your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents can be deposited at a bank branch to receive Next Day Funds Availability?,"[a, ""State and local government checks""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of checks can be deposited using the 'Next Day Funds Availability' deposit slip?,"[""Cashier's"", ""certified"", ""teller's"", ""Federal Reserve Bank"", ""Federal Home Loan Bank"", ""postal money order""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeframe for accessing deposited funds?,Funds from all other deposits are available no later than the second business day after the day we receive your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the policy on delayed availability of checks?,"We may delay availability for the full amount of the check, including the first $275, up to the seventh business day after the day of your deposit."
You are a helpful assistant who can answer questions about the topic in the dataset.,Why won't my deposited check be paid?,"You deposited checks totaling more than $6,725 in any one day."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if my check deposit is made with an employee or at an ATM and the bank delays my ability to withdraw funds?,We will inform you at that time.
You are a helpful assistant who can answer questions about the topic in the dataset.,When can you expect to receive a deposit hold notice after completing your deposit?,By the business day after the action is taken.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeline for when deposited funds become available?,"Deposited funds will generally be available within one business day, but may take up to ten calendar days in some cases."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to withdraw principal from a CD before it matures?,We do not offer this feature.
You are a helpful assistant who can answer questions about the topic in the dataset.,What special rules apply during the first 30 days an account is open?,"Funds from deposits of the first $6,725"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeline for availability of deposited funds?,"The excess over $6,725 will be available on the seventh business day after the day of your deposit."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What happens to the first $6,725 of a deposit made outside a bank branch?",It will not be available until the second business day after the day of deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,When can I expect my deposited funds to be available?,No later than the seventh business day after the day of your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the expected availability of funds after depositing a check?,Those funds will be available on the day they would have been available if you had deposited the check.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you be refused acceptance if you don,"fail to maintain adequate safeguards against unauthorized use, or your failure to issue checks in a manner so as to prevent unauthorized completion, alteration or addition."
You are a helpful assistant who can answer questions about the topic in the dataset.,What measures must I take to protect my checks and information from theft and unauthorized use?,You must protect your checks and information from theft and unauthorized use.
You are a helpful assistant who can answer questions about the topic in the dataset.,What kind of checks are used to prevent unauthorized access to digital documents?,Digital locks and password protection
You are a helpful assistant who can answer questions about the topic in the dataset.,What steps should I take to protect myself from check theft?,Review your account statements for checks and other errors.
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I report unauthorized transactions on my account?,You should review your account statement promptly and notify us as per the How to Contact Us section.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is your responsibility regarding errors and what steps will be taken to investigate alleged errors?,"You are responsible for providing all necessary information to investigate alleged errors. This includes filing police reports and providing written statements, declarations, affidavits, and supporting documentation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the requirements for a check to be reimbursed?,You must notify us about any check errors and comply with our reasonable requests for documentation and testimony.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my responsibilities regarding unauthorized checks on my bank statements?,"You must report any unauthorized checks to us within 60 days of when the statement was made available to you, and you must report any altered checks to us within 6 months after the statement was made available to you."
You are a helpful assistant who can answer questions about the topic in the dataset.,Doesnt my bank have to endorse the back of the check before I can cash it?,We may not be liable to reimburse these checks to you.
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do to recover my funds?,attempt to recover your funds.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the policy regarding reimbursement of losses if we do not comply with the requirements set by the check or e,"We are not required to reimburse you for any claimed loss, and you cannot bring any legal claim against us in any way related to the check or e"
You are a helpful assistant who can answer questions about the topic in the dataset.,What timeframe allows banks to attempt to collect on checks from other banks?,These timeframes do not limit our rights to attempt to collect on checks from other banks.
You are a helpful assistant who can answer questions about the topic in the dataset.,What conditions must I meet in order to be reimbursed by the company?,"You must ensure that your account statement is accurate and complete, or if you did not receive a scheduled statement, take prompt action to comply with the requirements."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are subject to the 'Review Your Account Statements for Checks and Other Errors' requirement?,"checks, teller transactions, and similar transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What additional terms apply to account transactions under the Electronic Funds Transfer Service Terms?,"Outgoing wire transfers or consumer international wire transfers, including cancellations, errors and unauthorized transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are there any restrictions on accessing wire transfer services?,"Yes, using an untrusted device may limit access."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of devices are required to be used with my account?,Trusted devices
You are a helpful assistant who can answer questions about the topic in the dataset.,What makes a trusted device for account access?,A trusted device is an eligible device that has been successfully enrolled with the company based on specific criteria.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the criteria that apply to using our service?,"We set specific criteria that may be modified from time to time, which include using an eligible device and establishing device trust through verifying your identity and authenticating."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an eligible device be trusted without establishing device trust?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of devices are eligible to become a trusted device?,A mobile smartphone device with a current operating system that we support (such as iOS or Android)
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of devices are considered eligible for device trust?,"Laptops, desktop computers, and personal devices."
You are a helpful assistant who can answer questions about the topic in the dataset.,What steps do I need to take to verify my identity and authenticate?,"You must take one or more actions such as taking a photo of your identification, entering information, etc."
You are a helpful assistant who can answer questions about the topic in the dataset.,What forms of identification are accepted for verification?,"['Valid driver\\u2019s licenses', 'State identifications', 'Additional qualifying forms of identification']"
You are a helpful assistant who can answer questions about the topic in the dataset.,What information is required from me for identification purposes?,Your image may be stored or retained only to the extent permitted by applicable law and will be used as permitted under our privacy policy.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms related to trusted devices when enrolling in Digital Platforms?,Terms related to trusted devices when enrolling in Digital Platforms.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to the interest earned on checking and savings accounts under the Deposit Account Agreement?,"Interest will be credited to your account on a daily basis, except for the last business day of each month. If we determine that it is not possible to make a payment on the last business day of the month, interest will accrue but will not be paid until the next business day."
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of accounts pay interest?,Interest-bearing accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,Can interest begin to accrue on a business day after receiving credit for a deposit?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,When does interest begin to accrue on direct deposits?,The business day of your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the method used to calculate interest on my account?,The daily balance method
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the ed balance?,"The ed balance is the balance of all deposits in your account on which we have received credit for the deposited funds, determined by the availability schedule of our Federal law."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if I return a deposited item unpaid?,We reserve the right not to pay interest on such items.
You are a helpful assistant who can answer questions about the topic in the dataset.,How is interest calculated?,Interest is computed on a 365-day basis and paid in whole cents.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to fractional amounts of interest in a loan?,"Any fractional amount of interest less than half of one cent is rounded down, while any fractional amount equal to half of one cent or more is rounded up to the next whole cent."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the typical length of a statement period?,It may or may not be a calendar month.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions for receiving a paperless statement?,Your account must have had some activity within the 32-day period covered by your account statement.
You are a helpful assistant who can answer questions about the topic in the dataset.,Will my mailing address be updated automatically if it changes?,"No, if you receive paper statements, you must keep your mailing address up to date with us."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still receive notices if my current address or email is invalid?,"Yes, we may send you other notices related to your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,"Are combined statements considered sent to all owners of an account, even if not all owners have access to the mailing address?",true
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can checking, savings and CD accounts with at least one common owner be combined on a single statement?","Yes, they can be combined either with or without your request."
You are a helpful assistant who can answer questions about the topic in the dataset.,Do I need to provide a new mailing address if my current one changes?,"No, unless a new mailing address is designated for the account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What changes will be made to statements?,We'll separate the statements.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the options for receiving checks,Three
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I view my check images?,Through our Digital Platforms.
You are a helpful assistant who can answer questions about the topic in the dataset.,What does it mean to have check safekeeping?,"Some accounts require this feature, which includes receiving images of paid checks on the account statement."
You are a helpful assistant who can answer questions about the topic in the dataset.,What features are not available on all accounts or paperless statements?,statement cycle
You are a helpful assistant who can answer questions about the topic in the dataset.,Does our agreement include checking for enclosure in statements?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to original checks after a reasonable period of time?,will destroy them
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I link my qualifying accounts to my checking account to avoid some fees?,"Yes, you can."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the rule about linking an account to an account?,An account may be linked to only one checking account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if automatic linking is enabled for my accounts?,"Accounts you hold individually may be linked to accounts you hold jointly with others, potentially affecting balance details and availability."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if my checking account that links my other accounts closes?,You are responsible for requesting the linking of any remaining eligible accounts.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still get notified if my linked accounts are delinked?,"No, we are not required to notify you if we do."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are you liable for financial gains made through account linking?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to link a phone or electronic device to this account?,Any additional requirements and the benefits from linking accounts.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do you allow recording of telephone conversations and using your voice to verify your identity?,"We do not have to keep the recordings unless the law says we must, but we can use your voice to verify your identity. We have your permission to contact you at the mobile number you provide."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I opt out of using my Chase or J.P. Morgan accounts for telemarketing purposes?,"No, you can opt out of receiving calls from your bank for marketing purposes."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the potential costs associated with receiving sales calls?,Message and data rates may apply.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can communications about account-related issues be sent electronically instead of through traditional mail?,"We may send communications electronically, such as by email or text message, rather than through U.S. mail or other means, unless the law says otherwise."
You are a helpful assistant who can answer questions about the topic in the dataset.,What fees does the account holder agree to pay?,"All fees, including interest charges."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I dispute the fees charged by this account at any time?,"Yes, you can dispute the fees at any time, even if there are insufficient funds in your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,"If you owe a debt to us or any other party, can you still be charged fees even if we have waived or refunded them in the past?","No, refer to the Fee Schedule for specific fee information."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can we use funds in your accounts to pay our debt?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if my account is a joint account?,We may use the funds in the joint account to pay the debt of any account owner.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do we need to provide advance notice before applying for funds?,"No, we do not have to give you any prior notice"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms under which the right of set-off can be applied to a debt?,The right of set-off only applies if the debt is not created under a consumer credit card plan.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if a joint owner draws a check or authorizes withdrawals not presented for payment after their death?,The agreement will be governed by that agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a surviving joint owner still exercise their rights on an account after another joint owner's death?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,"If any federal benefits or other payments are deposited into my account after I become ineligible to receive them, what happens to the funds?",We may reduce my account balance.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is an Account Alert in this context?,A notification sent by the platform about a specific action taken on your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What controls the terms of the digital or other online service agreements?,The terms of the digital platforms.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I manage my account alerts preferences?,"Yes, you can use our digital platforms to manage your alert preferences."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are acceptable times for receiving alerts?,Between 9 p.m. and 8 a.m. local time
You are a helpful assistant who can answer questions about the topic in the dataset.,What can account alerts be used for?,Account Alerts provide information about your account but are not a substitute for reviewing your monthly statement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What personal or confidential information may be included in recent debit card transactions or checks?,Personal or confidential information such as account numbers.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of the request?,To obtain information about account activity or status.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences if I provide an incorrect email address?,"You will have to pay the incurred loss, cost or expense."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I change my address if I reside outside the US?,"No, if you live outside the US, we may close your account."
