prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What are actions and transaction records and receipts?,"Details about transactions, accounting activities, or financial movements."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are night depositories and large cash deposits?,"Large cash deposits that are deposited at night, typically in secure facilities."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are electronically created items?,"Items that are created digitally, such as files, documents, and digital products."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are two topics related to posting orders?,"Posting order, Pending transactions"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of having an overdraft?,"Overdrafts, Fees and Overdraft Protection"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the consequence of presenting paying transactions against insufficient funds?,Overdrafts
You are a helpful assistant who can answer questions about the topic in the dataset.,What are overdraft fees and interest?,Overdraft fees and interest refer to charges imposed by a bank on a customer's account when the account balance falls below zero due to insufficient funds.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the terms for Electronic Funds Transfer Service regarding payments, deposits, and transfers made or received electronically?","Electronic Funds Transfer Service Terms; Payments, Deposits and Transfers You Make or Receive by Electronic Methods..."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the types of EFT services?,Debit and credit cards
You are a helpful assistant who can answer questions about the topic in the dataset.,What are two common ways to access my account?,ATM cards and electronic transfers using your account number
You are a helpful assistant who can answer questions about the topic in the dataset.,What are transfers for overdraft protection?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of authorizations and holds on my card?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of having an overdraft on my card?,"Overdrafts with your card can result in additional fees, negatively impacted credit scores, and potential account closure."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the consequence of canceling a card?,You will not be able to make any transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is foreign exchange transaction?,"A foreign exchange transaction refers to the buying or selling of currencies between individuals, businesses, or financial institutions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are debit or credit prompts at terminals?,"Transactions initiated by the user through a terminal, such as an ATM or point-of-sale device."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the value of ................................................................................. 13,
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the limits on ATM withdrawals, card purchases, and electronic funds transfers?",
You are a helpful assistant who can answer questions about the topic in the dataset.,What are receipts and statements related to electronic fund transfers?,"Receipts and statements are documents provided by the financial institution to record and verify transactions, including electronic fund transfers."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is our liability for failure to complete transactions?,Not specified in the text
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the procedures for transferring and stopping payments?,"Stop payments and transfer procedures require specific documentation, authorization, and timing guidelines."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my rights and liabilities?,Notice of your rights and liabilities
You are a helpful assistant who can answer questions about the topic in the dataset.,What services are not covered by this part of an agreement?,separate agreements
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you withdraw funds when you've deposited them?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the withdrawal and transfer policies for my account?,Withdrawals and transfers from your account are subject to certain restrictions and requirements.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are some transactions that may be subject to restrictions when using a foreign currency?,Large cash withdrawals
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I stop payments on a check?,Stop by your bank or credit card company.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the format of account numbers for funds transfers?,16 6
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a party require advance notice of withdrawal?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is multiple signatures?,More than one person's signature on a document or instrument.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the significance of facsimile signatures?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of substitute checks?,Substitute checks are used as a temporary replacement for a lost or stolen check when depositing funds into a bank account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to an unused account?,The account becomes inactive.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are dormant accounts?,"Accounts that have been inactive for a period of time, often requiring minimal or no activity to remain active."
You are a helpful assistant who can answer questions about the topic in the dataset.,When is my deposit received and how does it affect funds availability?,"Funds are generally available on the first business day after the deposit was received, unless otherwise specified by the financial institution."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is an additional consideration for Chase Business Checking accounts?,Longer delays may apply
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the special rules for CDs, retirement CDs and retirement money market accounts?",
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the special rules for new accounts?,19 F.
You are a helpful assistant who can answer questions about the topic in the dataset.,What measures are in place to safeguard your information?,19
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents does one use to check?,Checks and other documents
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I review on my account statements?,Checks and other errors
You are a helpful assistant who can answer questions about the topic in the dataset.,What are trusted devices used for in account management?,Devices that can verify your identity to access your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the interest rate on checking and savings accounts?,Variable rates apply
You are a helpful assistant who can answer questions about the topic in the dataset.,What are statements and notices?,Statements and notices
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the options for receiving checks?,Linked accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the result of the given text?,"The given text appears to be a large block of whitespace, with no actual content."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of the telephone and electronic communication section in the Deposit Account Agreement?,"This section outlines the rules for using telecommunications to communicate with JPMorgan Chase Bank, N.A."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the fees associated with my account?,You can find more information on fees for your account in section 22
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the account alerts status?,Active
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a Change of Address?,
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I close my CD account?,Contact the bank or financial institution where the CD is held to initiate the closure process.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the other legal terms?,R
You are a helpful assistant who can answer questions about the topic in the dataset.,How can restricting my account affect transactions?,Blocking or delaying transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What changes should be made to the agreement?,The text is incomplete.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are prohibited activities and how should tax reporting be handled?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of death or incompetence of the account owner or sole signer?,Adverse claims to the estate
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the authorization process for sharing information?,You must provide your consent and specify which information you are willing to share.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the legal processes involved when disputing information reported to a consumer reporting agency?,"The legal process typically involves sending a written dispute letter to the credit reporting agency, providing specific details about the disputed information, and requesting correction or removal of the error."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a 26 L. classification for an abandoned property?,"A 26 L. classification typically refers to a large or significant amount of debris, rubbish, or other waste material left on a property site."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are language preferences for patients who speak little or no English?,"Provide interpreters, written materials in multiple languages, and culturally sensitive communication strategies."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are special provisions for pass-through accounts?,"These rules apply to certain accounts, including qualified plans and individual retirement arrangements."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the permitted time for filing a lawsuit,Sub-accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,Where are legal proceedings taking place?,Location
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the pre-judgment interest rate?,27%
You are a helpful assistant who can answer questions about the topic in the dataset.,Does anyone have a waiver for U.,
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the full name of a US federal law related to employee retirement income security?,Employee Retirement Income Security Act (ERISA)
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of this privacy notice?,"This privacy notice explains how your personal data will be collected, used, and protected."
You are a helpful assistant who can answer questions about the topic in the dataset.,What governs my account?,This deposit account agreement
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of the agreement in this document?,"The basic agreement between you and JPMorgan Chase Bank, N.A. (the “Bank,” or “Chase”)"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the agreement for deposit account services like?,You and anyone else identified as an owner of the account agree to the terms in this Agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of products are covered by the agreement?,Credit cards and online banking or retirement accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,Are the terms of this Agreement more specific than other applicable Chase agreements and/or terms of service?,true
You are a helpful assistant who can answer questions about the topic in the dataset.,Who are you referring to with this agreement?,"Each person or entity in whose name the account with us is maintained or who exercises an ownership interest therein, as well as any assignee or successor in interest to the account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of disclosures can be provided by the institution?,"[1, 2, 3, 4]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What products and services are offered at all locations?,Check cashing
You are a helpful assistant who can answer questions about the topic in the dataset.,What does the term ACH stand for in the context of the Agreement?,Automated Clearing House
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the term for funds transferred to or from an account through an automated clearing house network?,Automated Clearing House
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the available balance of my account?,The amount of money in your account that you can use right now.
You are a helpful assistant who can answer questions about the topic in the dataset.,How is my available balance calculated?,"We start with your previous end of day balance, add any pending credit transactions, and subtract any pending debit transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the definition of a check?,"A written order to pay a specific amount of money drawn on, payable through, payable at or processed by a bank or other depository institution."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is a digital plat considered a recurring payment?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What does forms refer to in the context of J.P. Morgan Chase?,The J.P. Morgan Chase suite of digital online properties.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is direct deposit?,An automatic electronic deposit made through the ACH network to your account by someone else.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions can be performed on my account?,"Any check, ACH, funds transfer, online banking transaction, wire transfer, teller cash withdrawal, ATM withdrawal, debit card purchase, fee, charge or other instruction for an amount to be added to or subtracted from your balance."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will I be charged an overdraft fee if my account has a negative balance?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Is the alance overdrawn?,"Yes, it is considered to be overdrawn."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the current balance in my account?,"The total amount of money recorded in your account, including funds not yet available for use."
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of account ownership may determine how funds are paid upon death?,The type of account ownership
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the restrictions on using my personal account?,You cannot use it for business purposes.
You are a helpful assistant who can answer questions about the topic in the dataset.,Does the most current signature card match with the account ownership information from the deposit system?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the definition of,t information
You are a helpful assistant who can answer questions about the topic in the dataset.,"What type of account will be treated by JPMorgan Chase Bank, N.A. as solely owned if it has only one individual listed as the owner?",solely owned
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the nature of a personal account with multiple owners?,A 'joint account' where each owner has complete control over all funds.
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can a joint account become overdrawn and if so, how does liability work?","Yes, a joint account can become overdrawn. In this situation, each joint owner is liable for the full amount the account is overdrawn, regardless of who initiated or benefited from the activity that caused the overdraft."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the other joint owner block an account and refuse to pay transactions initiated by them?,"Yes, they can."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions under which a block on an account can be released?,All joint owners must agree in writing to remove it.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can we pay out of the joint account without the authorization of the other joint owners?,"Yes, we may also pay all or any part of the funds in the joint account to a court or government agency if we receive a garnishment, levy or similar legal process that identifies any of the joint owner."
You are a helpful assistant who can answer questions about the topic in the dataset.,What does s represent?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a joint account when one joint owner dies?,The account ownership is transferred to the surviving joint owners.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a jointly held bank account if there is more than one surviving joint owner?,The account will continue as a joint account with rights of survivorship among the remaining owners.
