prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the final step in processing transactions?,Fees are assessed last
You are a helpful assistant who can answer questions about the topic in the dataset.,What does it mean for a transaction to be shown as 'pending' in my JPMorgan Chase Bank account?,It means that the transaction has not yet been processed or settled.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the status of my transactions?,"These transactions impact your available balance, but have not yet posted to your account and do not guarantee that we will pay these transactions to your account if you have a negative balance at that time."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a transaction that is returned due to insufficient funds during a business day's nightly processing?,The transaction will still be marked as unpaid.
You are a helpful assistant who can answer questions about the topic in the dataset.,Why doesn't authorized show up as pending on my account?,You are still responsible for it and it may still be posted against your account during nightly processing.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of debit transactions can reduce my available balance by the amount of the transaction?,"ATM withdrawals, Chase Banker withdrawals"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are available through the digital platform?,"Automatic Payments, Digital Platform Transactions, Checks Drawn on Your Account, Debit Card Transactions, Wire Transfers, ATM and Chase Banker Withdrawals"
You are a helpful assistant who can answer questions about the topic in the dataset.,How are ACH transactions applied to my account?,We will generally apply debit transactions against your available balance as pending at the start of business.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to ACH debit transactions initiated on the same day as the payment effective date?,They are applied in the order received.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the status of a check on my account after deposit at another bank?,The check may be pending throughout the day as the other bank submits it for payment.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my account balance when you receive a notice?,We may notify the other bank about that fact.
You are a helpful assistant who can answer questions about the topic in the dataset.,When will the transaction be applied to my account after internal reviews are completed?,On the effective date of the transfer.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a transaction is posted against an account with insufficient funds?,Overdraft fees are applied.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the bank's policy on paying overdraft transactions?,We pay overdrafts at our discretion and do not guarantee authorization or payment for any type of transaction.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a transaction exceeds my available account balance?,The account balance used for payment or return is determined during nightly processing.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my account balance if there are pending deposits or holds?,These will be deducted from the available balance before processing any debit transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,When are you assessed fees?,During our nightly processing
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I trust my available balance throughout the day?,"No, it may vary after nightly processing."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions for an ATM withdrawal?,Your available balance must be equal to or more than the requested withdrawal amount.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the limitations on withdrawals and debits at ATMs or with merchants?,Additional fees described in the applicable Additional Banking Services and Fees.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is my responsibility if I overdraft my account?,You must immediately pay the amount of any overdraft together with any applicable fees or interest.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if I fail to pay according to the fee schedule?,"We may report you to consumer reporting agencies, close your account, or both. These actions could affect your ability to open accounts in the future."
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can I be charged for any subsequent deposits to my account, including Social Security payments, to pay overdraft fees?","Yes,"
You are a helpful assistant who can answer questions about the topic in the dataset.,Are there any fees or interest that can be taken from my other accounts?,"No, details are outlined in the Set-off and Security Interest section."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the steps I need to take if I want to make changes to my payment instructions?,You can submit new instructions at any time with the person or organization paying the benefits.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I avoid being charged for overdrafts and additional fees?,"No, certain business accounts may charge additional fees or interest during nightly processing after it is charged off."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the process for overdraft fees and interest charges by JPMorgan Chase Bank, N.A.","We are entitled to charge an overdraft fee and/or interest, as applicable, on any paid transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will there be a fee if a returned transaction is re-posted on a business day?,"No, if a returned transaction is re-posted on a business day when your account is overdrawn, we will not charge a fee."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the policy on overdraft fees for Chase accounts?,We may limit the number of overdraft fees we charge for a business day for Chase accounts.
You are a helpful assistant who can answer questions about the topic in the dataset.,How are my payments and deposits calculated?,They are calculated according to the Electronic Funds Transfer Service Terms.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions can be made through electronic means?,"Payments, deposits and transfers"
You are a helpful assistant who can answer questions about the topic in the dataset.,What methods does the party agree to use to receive electronic funds?,"ACH, RTP, and other EFT networks"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the restrictions on using an account for ACH or RTP payments on behalf of someone who is not a US resident?,A non-US resident must be authorized before making such transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of using my account and routing number for one-time electronic payments?,To make a one-time electronic payment for purchases or to pay bills on personal accounts only.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still have my account if I don't activate my Chase debit or ATM card?,"No, activating your card is not required to keep your account open."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my current card when I activate a new one?,"You can use it at ATMs to withdraw cash, transfer money, check balances, and deposit funds."
You are a helpful assistant who can answer questions about the topic in the dataset.,What accounts can I access using a Chase ATM?,"All personal checking, savings, and credit card accounts"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the types of cards offered by e savings account for deposit accounts?,Deposit-only business cards that can be linked to a checking or savings account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for using a non-Chase ATM under this agreement?,"You can use a non-Chase ATM only if it is in a participating network, which allows access to your primary checking and savings accounts."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can linked accounts be accessed outside of the U.S.?,"No, only primary checking accounts are usually accessible"
You are a helpful assistant who can answer questions about the topic in the dataset.,Will the bank refund ATM surcharge fees?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Are foreign currency commissions and fees included in the exchange rate charged by third parties for international transactions?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is excluded from Chase Surcharge Fee reimbursements,Purchases made with a debit card at participating merchants
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I notify my merchant of changes to my payment details?,"You must notify the merchant immediately if your card number or expiration date has changed or your debit card is closed, and you may also receive notification of your new account number and expiration date."
You are a helpful assistant who can answer questions about the topic in the dataset.,How do i use my credit card for cash back and payments?,"Withdraw cash while making a purchase using your PIN if the merchant permits the cash-back option. Send or receive payments from another person, or receive payments from a business by providing your card number to third-party payment services."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I withdraw cash from my primary checking account using this service?,"Yes, you can withdraw funds at a teller and the withdrawal amount is deducted from your primary checking account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for electronic transfers using my account number?,You may authorize a third party to transfer funds to or from your account
You are a helpful assistant who can answer questions about the topic in the dataset.,What payment methods are used for transfers?,"['Employer payroll', 'Government benefits', 'Other direct deposits', 'One-time payments']"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions require recurring charge or transfer authorization?,"Recurring charges to your account to pay bills or make a purchase; Transfers between external accounts and your Chase accounts; or A 'check conversion' transfer, where a merchant or other payee creates an electronic transfer from your paper check"
You are a helpful assistant who can answer questions about the topic in the dataset.,What can the merchant do with my returned check?,The merchant may keep your check or return it to you.
You are a helpful assistant who can answer questions about the topic in the dataset.,What services can I enroll in through your digital platforms?,"Loans or credit cards, make payments from your account to third parties, and access other eligible products and services."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions for using these services?,"We may require you to use a trusted device to manage your account and digital profile, and to access or use eligible products and services."
You are a helpful assistant who can answer questions about the topic in the dataset.,What services can I access using my Chase account?,"You may use our automated customer service system or speak to us to get your account information, transfer funds between your accounts with us, or pay qualifying Chase loans or credit cards."
You are a helpful assistant who can answer questions about the topic in the dataset.,What information is required to access the automated system?,A valid password or PIN and/or a valid Taxpayer Identification Number (TIN)
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the procedure for executing a telephone request or order?,"We believe the instruction to be genuine, but we may refuse to execute any request or order, including transfers for overdraft protection."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required for Overdraft Protection?,A checking account and an eligible funding account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is overdraft protection?,A service that helps prevent overdrafts from occurring by transferring funds from a checking account to help cover transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you explain the process when we authorize a purchase?,"When we give authorization to a merchant, we will reserve or place a hold on your available balance, generally for three business days, for the amount of the authorization. There may be delays of several days between the time of authorization and when the funds are actually deducted."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I be charged more than the initial authorized amount?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,"Are there situations where merchants require authorization for purchases unrelated to the actual transaction value, such as self-service fuel?",True
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when the merchant pays the purchase amount from my balance after a hold has expired?,We will pay the purchase amount from your balance.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the bank’s policy on authorizing everyday debit card transactions when the available balance is insufficient?,We generally won’t authorize an everyday debit card transaction unless you have notified us that you DO want us to pay debit card overdrafts at our discretion.
You are a helpful assistant who can answer questions about the topic in the dataset.,Will the bank charge an Overdraft Fee?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my available balance when I authorize a purchase?,It decreases.
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I avoid overdraft fees?,"Keep enough funds in your account to cover all transactions, including previously authorized debit card transactions that have not been posted to your account yet."
You are a helpful assistant who can answer questions about the topic in the dataset.,How does a transaction coding determine if a transaction is everyday or recurring?,Transaction coding sent by merchants or third parties affects authorization and assessment of transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if another transaction overdrafts my account?,"We will assess fees as described in the sections Overdrafts, Fees and Overdraft Protection, Posting Order and Processing, and the Fee Schedule."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I cancel my card and what are the steps for doing so?,You may cancel your card by calling us and please destroy it after cancellation.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my debit card transactions if I lock it?,"We will stop authorizing everyday debit card transactions and ATM withdrawals made by swiping, tapping or inserting your debit card at a payment terminal."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will locking my card prevent recurring debit transactions?,"No, locking your card will not impact your recurring debit card transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for foreign exchange transactions on a JPMorgan Chase card?,The exchange rate applied to card transactions that occur in a different currency will be set by the bank.
You are a helpful assistant who can answer questions about the topic in the dataset.,What determines the interest rate for a cryptocurrency transaction?,Elected by the network that processes the transaction.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a card transaction is posted to my account?,We will charge a Foreign Exchange Rate Adjustment Fee.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the action amount after conversion to U.S. dollars?,"The exchange rate used may include a spread, commissions or other costs."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the required details for an exchange?,"ending on your relationship, products with us, or the type of transaction being conducted, the dollar amount, type of currency, and the date and the time of the exchange."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the difference between choosing debit and credit when making a purchase?,"If you select Debit, your purchase will be subtracted directly from your primary checking account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the exceptions for providing a signature when using credit for self-service fuel or at an ATM?,"Some smaller amounts, and when paying for self-service fuel"
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do when using an ATM?,"Be aware of your surroundings and choose a well-lit, secure ATM."
You are a helpful assistant who can answer questions about the topic in the dataset.,What precautions should I take when using an ATM at night?,"['Consider having someone accompany you', 'Cancel transaction if suspicious activity is noticed', ""Use a different ATM if it's not working properly""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What security protocols should I follow when entering the bank during regular hours?,Close the door completely and do not allow unknown individuals in
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the recommended protocol when using an ATM?,"Minimize transaction time at walk-up ATMs by having your card ready, and at drive-up ATMs, keep your car engine running and lock your doors."
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do after seeing my PIN or the transaction amount is missing?,"Remove your card from the ATM, take your money, receipt, and card, and contact the police or a security officer"
You are a helpful assistant who can answer questions about the topic in the dataset.,"If I feel like I'm being followed at an ATM, where should I go?","Heavily populated, well-lit areas. Contact the police immediately."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the contact information for security in Chase ATM facilities?,"{""New York"": {""phone"": ""888-697-2861"", ""department"": ""NYC Department of Consumer Affairs""}, ""outside New York"": {""phone"": ""800-900-0001"", ""department"": ""JPMorgan Chase Security Department""}}"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the contact number for the New Jersey Department of Banking?,"{""phone"": ""212-487-4444"", ""alternate_phone"": ""609-292-7272""}"
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I change my PIN?,"Request a new PIN on some of our Digital Platforms, call us, or visit a branch."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the limits on ATM withdrawals, card purchases, and electronic funds transfers if our card is lost or stolen?","Limits on ATM withdrawals, card purchases, and electronic funds transfers include reporting a problem promptly to take precautions to prevent misuse."
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I know my daily withdrawal and purchase limits?,Your limits are contained in the product information you received when you opened your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when my transaction exceeds my limits?,Your card will be restricted.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of using an untrusted device for electronic funds transfers?,Your ability to make EFTs may be limited.
You are a helpful assistant who can answer questions about the topic in the dataset.,What methods are available to receive receipts and statements,"ATMs, Branch, Digital Platforms, Merchant Locations"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still receive a receipt for small dollar transactions at merchant locations?,"No, you may not receive a receipt"
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I return to the Table of Contents?,Call us or visit a nearby ATM.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the procedures for correcting errors or questioning electronic funds transfers in my JPMorgan Chase account?,Contact our customer service department at (800) 935-9935 or visit our website at jpmorganchase.com for assistance.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the procedures for accessing more information about a transaction listed on this platform?,See the How to Contact Us section.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the deadline to contact you regarding unauthorized EFTs?,60 days after notification of unauthorized EFTs.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to be provided in response to a reported problem or error?,"Your name and account number, along with a description of the error or transaction and explanation for why it is considered an error."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeframe for correcting an error?,"Within 10 business days after hearing from you, but up to 45 days in some cases."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I get a refund for an incorrect amount on my account?,We will provide provisional credit to your account within 10 business days for the amount you think is in error.
You are a helpful assistant who can answer questions about the topic in the dataset.,Is my 10-business-day period for disputing errors extended to 20 business days if my first account deposit was made less than 30 days before the suspected error date?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the updated timeframe for reporting a suspected error on a transaction?,The 45-day period is extended to 90 days.
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of EFT error can be reversed and how?,"An unauthorized EFT, the amount of the transfer is wrong or"
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do if I received an incorrect amount of money from an ATM?,Contact the financial institution where the transaction was initiated to report the issue and initiate a preauthorized transfer back to your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I get more information about a failed transfer?,"Yes, please provide additional details to help us determine the cause of the issue."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the standard procedure for notifying the company of a potential EFT issue?,Notify us no later than 30 days after we sent you the form.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeframe for finalizing or reversing provisional credits for ACH payments on business accounts?,up to 75 days
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when there is not enough money in my balance to cover a transaction?,"You will be liable for your losses or damages, unless you use sufficient funds."
You are a helpful assistant who can answer questions about the topic in the dataset.,Does this text indicate a problem with a transaction?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I be held liable for failing to complete a preauthorized transfer?,"No, we are not liable for failure to complete a transaction on a business account if we send you notice that the transaction was not completed."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are recurring payments that require a notification of amount and date 10 days before the payment due date?,Recurring payments with varying amounts that necessitate advance notice of at least 10 days prior to the scheduled payment date.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions for stopping a payment before the scheduled payment date?,"You can stop some payments by providing your card number, if they differ by more than a certain amount from the previous payment or when the amount would fall outside certain limits that you set."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required for the recurring transfer?,You must contact us by telephone or at the branch and provide the exact card number.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for providing a routing number for ACH direct debits to your account?,"You must contact us by telephone or at the branch, give us your account number and the exact name of the payee."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to stop a payment?,"A range of amounts or an instruction to block all payments from the named payee, with a Stop Payment Fee applied"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you refuse a payment to a payee with a similar name?,"We may, but we are not liable if we do not."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the duration for an ACH stop payment on a personal account?,"Effective immediately, until further notice."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the conditions under which an ACH stop payment will be effective for a business account at JPMorgan Chase Bank, N.A.",Until we have determined that the ACH transaction is invalid or has been stopped by you.
You are a helpful assistant who can answer questions about the topic in the dataset.,"How long can I opt out of auto-renewal, and what are the terms of auto-renewal?","For up to six additional years, whichever is longer (18 months) or • One calendar year with automatic renewal annually."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required to avoid being charged a Stop Payment Automatic Renewal Fee?,You must notify the company not to renew and follow the instructions in the statement.
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I cancel pending and future payments for my Digital Platforms?,You can use that service to cancel pending and future payments.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I make a stop payment request if placed within three or more business days before the scheduled transfer date?,"Yes, but you may be responsible for losses or damages if we still pay despite the stop payment."
You are a helpful assistant who can answer questions about the topic in the dataset.,What can I do on select digital platforms regarding ACH debit transactions?,Block and return ACH debit transactions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is necessary for completing transactions?,"Compliance with government agency, arbitration or court orders and initiating claims."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the basis for using my data as stated in your Privacy Notice?,In accordance with your written permission; As permitted by our Privacy Notice and other relevant privacy notices and disclosures.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I minimize my losses if I call the bank within two business days after realizing my PIN or code has been lost or stolen?,"Yes, you can lose no more than $50."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the consequences for not notifying the bank within two business days after discovering a lost or stolen card, PIN, or code?",You could lose up to $500.
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do if a statement shows electronic funds transfers that I did not make?,Tell us right away.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the transactions be prevented with prior notice?,"No, a good reason such as a long trip or hospital stay may have prevented it."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can someone use my credit card without my permission?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my responsibilities regarding EFT services?,"ponsible for all authorized and unauthorized transactions; That all of the provisions of this Agreement, including liability limitations and the requirement that you give us notice of unauthorized transactions within 30 days, apply to your EFT serv"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the zero liability protection policy for card transactions?,You are not liable for any unauthorized card transactions if you notify us promptly.
You are a helpful assistant who can answer questions about the topic in the dataset.,Were you grossly negligent or fraudulent in handling your account or card?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Are fees for all EFT services disclosed in the Fee Schedule and product information?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What transactions are excluded from Consumer Financial Protection Bureau Regulation E?,Wire transfers and any transactions not specifically described in the Electronic Funds Transfer Service
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of EFT services are offered besides those described in the Electronic Funds Transfer Service Terms?,EFT services with separate agreements and disclosures
You are a helpful assistant who can answer questions about the topic in the dataset.,When can I withdraw my deposited funds?,"You can typically withdraw your deposited funds the next business day after the business day you deposit them, but there are exceptions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when funds from a deposit become available for withdrawal?,It does not mean the check or other item has been cleared or paid by the paying bank.
You are a helpful assistant who can answer questions about the topic in the dataset.,Will checks be returned after we've made the funds available to you and you've withdrawn them?,"No one, including our employees, can guarantee to you that a check will not be returned."
