prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the formula for calculating the early withdrawal penalty on a CD?,$25 + 1% of the amount withdrawn (less than 12 months) or $25 + 3% of the amount withdrawn (12 months or more)
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I withdraw my money without a penalty if it hasn,permits withdrawals if funds have not been credited to the account
You are a helpful assistant who can answer questions about the topic in the dataset.,What are valid reasons for withdrawals from non-retirement CDs?,"[""Death of a CD owner or a grantor of a revocable family/living trust"", ""Disability of a CD owner""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a CD be re-titled to transfer ownership of funds into a living trust without transferring funds from the bank?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when a 401(k) or 403(b) plan owner withdraws an excess annual retirement contribution?,"The excess amount, along with the earnings on that amount, will be returned to the plan."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is waived regarding early withdrawal penalties for retirement CDs?,early withdrawal penalties
You are a helpful assistant who can answer questions about the topic in the dataset.,When must an early withdrawal be made from a retirement CD?,"In relation to the CD opening or a previous withdrawal, death or disability of a retirement CD owner, a court's determination that a retirement CD owner is incompetent, or if the retirement CD owner is 51.5 years old."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is waiving early withdrawal of penalties for distributions from a traditional IRA allowed?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is exempt from withdrawal penalties for a business CD owned by a sole proprietorship?,Withdrawals that occur more than seven days after the account was opened
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the circumstances under which a CD can be withdrawn?,"[""Death of a CD owner or a grantor of a revocable family/living trust"", ""Disability of a CD owner"", ""A court’s determination that a CD owner is incompetent"", ""Re-titling of a CD to transfer ownership of funds into a living trust""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an account be closed by either party without prior notice?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences for an overdrawn bank account?,"The account is subject to legal process such as garnishment, attachment, execution or levy and may also be held due to type of holds such as collateral hold, decedent hold or deposit hold."
You are a helpful assistant who can answer questions about the topic in the dataset.,What restrictions are placed on my account during the pre-restriction period?,"Limitation of transaction types, waiting for pending transactions to be paid or returned, ensuring balance is no longer negative and any legal restriction/hold has been released."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my account after it is closed?,"We have no obligation to accept deposits or pay any outstanding checks, but we may reopen your account if we receive a deposit."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I still get credit if my account is closed due to misuse?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What does the agreement govern regarding my account?,Federal law
You are a helpful assistant who can answer questions about the topic in the dataset.,Where can I find my account information?,"king offices, then the account is located in the state where you applied"
You are a helpful assistant who can answer questions about the topic in the dataset.,"If my account is opened at a later time, what state will my account be located in?",the state where the representative’s business office is located
You are a helpful assistant who can answer questions about the topic in the dataset.,What information from a joint account is used to determine its location?,the address of the owner whose name was listed first.
You are a helpful assistant who can answer questions about the topic in the dataset.,Where should business trust accounts for professionals be located?,Designated state
You are a helpful assistant who can answer questions about the topic in the dataset.,Can my account transactions be affected by external rules?,"Yes, they can."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if there is a conflict between this Agreement and what an employee says about it?,We may comply with applicable law or regulation.
You are a helpful assistant who can answer questions about the topic in the dataset.,What provisions of this Agreement limit the bank's liability?,Any provision that does so.
You are a helpful assistant who can answer questions about the topic in the dataset.,What limitations are there on the bank's liability under this agreement?,Any such limitation shall be enforceable to the fullest extent permitted by applicable law.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are tomary banking practices liable for in case of damages?,"Indirect, special, or consequential damages"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the liability limit for forged signatures or endorsements?,The face amount of the item
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can JPMorgan Chase Bank, N.A. deny or delay transactions from my account?","Yes, for various reasons including restrictions on your account, blocking or delaying transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the reason for restricting my account?,"To protect you or us, or to comply with legal requirements or Legal Process."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I refuse or have funds frozen on my account?,"Yes, you can, but these actions may be subject to investigation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the circumstances under which my account may be involved in a legal or administrative proceeding?,If your account is involved in any legal or administrative proceeding.
You are a helpful assistant who can answer questions about the topic in the dataset.,What kind of transactions may be involved in a case of suspected account ownership or control issues?,Irregular or unauthorized activities
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of activities are we not allowed to engage in?,"unauthorized, or illegal activity or may be fraudulent; We are complying in our sole discretion with any federal, state or local law, rule or regulation, including federal asset control and sanction rules and anti-money laundering rules, or with our policies."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the policies adopted to ensure compliance with laws and regulations?,"Policies adopted to ensure that we comply with those laws, rules or regulations; or We reasonably believe that doing so is necessary to avoid a loss or reduce risk to us."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the acceptable methods for reducing risk and enhancing compliance with applicable law regarding account transactions?,"Making a single transaction or total withdrawals or deposits during any period of time, or who may make deposits."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you refuse to pay out money from an account upon someone's death?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the potential liability for estate tax, gift tax, and other taxes, as well as when a hold can be placed on an account?","Potential liability for any estate tax, gift tax or other tax; or upon receipt of oral or written notice of a claim regarding the account, until we have a court order or the written consent of all required parties."
You are a helpful assistant who can answer questions about the topic in the dataset.,What does the agreement require reimbursement for expenses and attorneys' fees?,"Reasonable attorneys' fees incurred due to a dispute, including disputes without litigation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if there is a dispute over the actions taken on my account?,We may assign and transfer your account information and documentation to a replacement account number at our discretion and without notice to you.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if my account is reported compromised or I need a replacement account number?,"We may issue a replacement account number, and the Agreement continues to apply"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you be held liable for actions taken after discontinuing an account number?,"We will have no liability for any action we take under this section and/or related sections, and we may take such action without advance notice."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the possible reasons for changes to the terms of this Agreement?,"We may change the terms of this Agreement, including fees and features of your account, at any time."
You are a helpful assistant who can answer questions about the topic in the dataset.,What steps should I take if there are changes to our Agreement?,"You can review and update the Agreement online at chase.com, in-person at a branch, or upon request by phone."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when my CD account is transferred to a different business unit?,Changes will take effect on the next maturity date unless necessary for compliance with legal requirements.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the procedure for receiving notice of changes to the deposit agreement?,You can give notice in the same manner and receive a different deposit agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the notification process for changes in interest rates and printing fees for documents?,We may direct you to a branch or our Digital Platforms for the content of any changes or the revised Agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What constitutes agreement to changes in this agreement?,Maintaining your account after the effective date of any change.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What personal information does a financial institution need to obtain, verify, and record when opening an account?","Information that identifies each person or business, as required by federal law."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is required by the business for Know Your Customer,"Additional information about yourself and associates, to ensure compliance with regulatory requirements"
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if I open an account with you and cannot provide required information?,You must close your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What prohibited activities are subject to U.S. Department of the Treasury, Office of Foreign Asset Control restrictions?","Conducting transactions using an account administered or enforced by the U.S. Department of the Treasury, Office of Foreign Asset Control."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is EFT?,"The acceptance or receipt of credit or other receipt of funds through an electronic funds transfer, or by check, draft or similar instrument."
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of transactions is a user prohibited from conducting through their account?,Transactions that directly or indirectly involve or relate to unlawful Internet gambling.
You are a helpful assistant who can answer questions about the topic in the dataset.,Is it illegal to gamble online?,"Yes, using our service for other illegal activities is prohibited."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a reasonably believable scenario involve illegal activity?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the responsibility of the account holder regarding their tax obligations?,You are fully responsible.
You are a helpful assistant who can answer questions about the topic in the dataset.,What information can be withheld from tax authorities?,None
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents are required for legal and tax compliance in a foreign country?,"Lete and accurate, including any information pertaining to your country of citizenship, residence, principal place of business and any other relevant information to determine legal and tax status."
You are a helpful assistant who can answer questions about the topic in the dataset.,What information regarding tax affairs can be requested from you to comply with regulatory obligations?,Information related to your tax affairs as we may request in order to comply with our regulatory obligations.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my account balance if the owner dies or becomes incompetent?,"The balance may be frozen, transactions may be refused, and deposits may be reversed or returned."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the requirements for releasing funds after verifying death or incompetence?,Release of funds requires documentation and confirmation of death/incompetence and entitlement
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an authorized account owner be held liable for taxes if they repay a debt to their estate?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an individual be forced to pay off debts from their estate after they pass away?,"Yes, according to some laws, if an individual owes a debt at the time of their death, their estate may be held responsible for paying it."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to debt and security interests when someone dies?,"The debts and security interests continue, even after death, affecting the survivor's accounts."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a trustee for an account have rights to the account after receiving notice of death or incompetence of the sole signer?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for releasing an organization's funds after the signer's death or incompetence?,"Releasing an organization's funds requires verification documents for the signer's death or incompetence, and establishment of a new person's authority to act on behalf of the organization."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if there are disputes or conflicting instructions regarding my account?,"We may take any action, including rejecting or returning a transaction."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can we withhold funds from someone without their consent?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions under which a party can initiate a claim?,n of the dispute; (ii) or a court of proper jurisdiction authorizes or directs the payment; or (iii) the person with a conflicting claim withdraws his or her claim in writing.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is an interpleader action and when can it be taken?,"An interpleader action is a legal procedure that allows a person to resolve a dispute over ownership of assets before deciding whether to take further action. If someone notifies the party in question of a dispute, regardless of whether it's oral or written, they are not required to evaluate the merit of the dispute before proceeding."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for sharing user information?,"These actions are done without any liability and without advance notice, unless the law says otherwise."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can we share personal data?,"No, according to our Privacy Notice and CCPA Disclosure and Notice."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I dispute inaccurate information on my credit report?,"Yes, you can file a dispute with the consumer reporting agency."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is legal process?,"Any document that appears to have the force of law regarding restricting, holding or paying out funds from your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the definition of legal process?,"A garnishment, attachment, execution, levy or similar order."
You are a helpful assistant who can answer questions about the topic in the dataset.,Do I have a responsibility to consult with an attorney and/or initiate legal proceedings?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my rights if the legal process is disputed or I want to claim additional exemptions?,You will be contacted by our team and informed about the next steps.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the deadlines for seeking judicial relief in Legal Process?,Within the deadlines provided for in the Legal Process
You are a helpful assistant who can answer questions about the topic in the dataset.,Do we need to verify the validity of a legally issued and enforceable process?,"No, we only have to comply with it."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the company be held liable if it follows the legal process or is allowed under this agreement?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I request my accounts to be relinked if an overdraft protection hold is placed?,"Yes, as permitted by law"
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if I don,"You will be liable to us for any loss, cost or expense (including attorneys' fees that we incur) resulting from our compliance with any Legal Process or any related litigation."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to funds that cannot be returned or transferred in an account?,They may be considered abandoned.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of making sure my accounts remain active?,"to receive regular statements, have full use of your accounts, and avoid any penalties or issues"
You are a helpful assistant who can answer questions about the topic in the dataset.,Will my account assets be transferred to the state as unclaimed property?,We will send you a letter in advance if your account assets may be transferred to the state as unclaimed property.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the effective date of the Deposit Account Agreement for JPMorgan Chase Bank, N.A.?",6/14/2026
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of forms and documents are made available in languages other than English?,"Some of our forms, disclosures and documents, including this Agreement."
You are a helpful assistant who can answer questions about the topic in the dataset.,What language versions are supported for the account,Only English
You are a helpful assistant who can answer questions about the topic in the dataset.,Can employees share contact information for third-party vendors with company clients?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I trust that your service will not refer me to a third-party without making any guarantees about their quality?,"No, we may be compensated for referrals and do not make warranties or representations about third parties or their products/services."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are Chase products based on third parties' performance?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can beneficial owners of a holding company be eligible for 'pass-through' insurance from the FDIC?,"Yes, they may be able to qualify for more than the standard maximum deposit insurance amount."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I get a record of the interests of the beneficial owner(s) if my account has transactional features?,"$250,000 per depositor in the same ownership capacity"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for resolving issues with a failed Chase deposit?,"The FDIC published a guide detailing the steps and required information to follow in case of a failed Chase deposit, available on their website at https://www.fdic.gov/deposit/deposits/broker"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the FDIC's alternative recordkeeping requirements for pass-through insurance?,"The FDIC published an Addendum to the guide, section VIII, which explains these requirements."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of deposit accounts are eligible for pass-through insurance coverage under the FDIC?,Transactional deposit accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the required format for providing records to the FDIC upon bank failure?,You must provide this information in a timely manner to receive payment for the insured amount of pass-through deposit insurance.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you provide detailed guidance on delivering required information for timely calculation of deposit insurance coverage?,You will receive additional instructions.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my obligations regarding the determination of insured status of funds in accounts?,You agree to cooperate fully with us and the FDIC in connection with determining the insured status of funds in such accounts at any time.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to my account immediately after a receiver is appointed?,A hold will be placed on your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I avoid being held or frozen for not providing required data?,"No, if you do not provide the required data, your account may be held or frozen until the information is received."
You are a helpful assistant who can answer questions about the topic in the dataset.,How do two types of sub-accounts (transaction and savings) work?,"A transaction sub-account posts all deposits, withdrawals, and fees; a savings holding sub-account transfers balances above a certain level daily, with excess funds retransferred to the transaction s "
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to balances in the holding sub-account when a certain condition is met?,All balances will be transferred to the transaction sub-account
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the permitted time frame for filing a lawsuit against you?,Two years after the date of the incident.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the general rule regarding the time period for a cause of action?,"The cause of action arises, unless federal or state law or an applicable agreement provides for a shorter time."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the minimum timeframe for filing a lawsuit under the state's laws?,Two years
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the timeframe for bringing an action against the party being referred to as 'us'?,"within the period set forth in these laws and the period required by applicable law, but not less than the shortest of those periods"
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the timeframe for bringing an action against a company on a CD, and when do they need to preserve records?",Any action against us on an automatically renewable CD must be brought within the time that the law requires us to preserve records based on the stated maturity date in the most recent record of the CD.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for filing a lawsuit or legal proceeding related to my account?,You must file it in an appropriate court in the state where your account is located.
You are a helpful assistant who can answer questions about the topic in the dataset.,Does connecting with our accounts or services imply consent to be bound by jurisdiction and venue laws in the state where the account is located?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Does 'olging Disputes' grant immunity to a party from jurisdiction of any court?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I waive my legal immunity for any obligation related to this contract?,"Yes, but only up to a limited amount as required by law."
You are a helpful assistant who can answer questions about the topic in the dataset.,"Do waivers under the Foreign Sovereign Immunities Act of 1976 have the fullest extent permitted, and are they intended to be irrevocable?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the rate of interest earned on an account?,"The rate of interest earned on an account will be the rate of interest the account earned during that period, unless"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the lowest general rate available for a personal interest-bearing checking account if an account is not interest-bearing?,the lowest generally available rate
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the effective date for this Deposit Account Agreement?,"June 14, 2026"
You are a helpful assistant who can answer questions about the topic in the dataset.,"Can we assign, transfer or grant a security interest in my account to anyone other than you?",No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions under which a binding agreement is considered valid?,"We will not be considered to have knowledge of an assignment until we consent and note it in our records, but noting the assignment does not imply any responsibility for its validity."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my account assignment rights?,Ed: The assignment of your account is subject to our set-off rights.
You are a helpful assistant who can answer questions about the topic in the dataset.,What accounts are not considered qualified employer-sponsored retirement or welfare benefit plans under the Employee Retirement Income Security Act (ERISA)?,"Accounts opened on or after July 1, 2013"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of employee benefit plans are subject to ERISA?,"[""ERISA Plan"", ""state and local laws with substantially similar requirements""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an ERISA plan invest in a particular entity?,"No, but you can provide additional information if needed."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the method of dispute resolution used when an election occurs?,Binding arbitration
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I opt out of arbitration under this agreement?,"YES, YOU HAVE A RIGHT TO OPT OUT OF THIS AGREEMENT TO ARBITRATE."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are you and the company waiving your right to have a dispute heard by a judge or jury?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What claims or disputes are subject to arbitration?,Claims or disputes not explicitly excluded by the agreement are subject to arbitration.
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of disputes are covered under the terms?,"Disputes related to legal issues, deposits, and transactions"
You are a helpful assistant who can answer questions about the topic in the dataset.,"Are all transactions, including products, services, and agreements, subject to arbitration?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What disputes and claims are excluded from coverage under this agreement?,"Claims arising from or relating in any way to this agreement, prior account agreement, advertising of our products, or the application for, or the denial, approval or establishment of your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What legal claims are excluded from arbitration under this provision?,Any legal issue not within the scope of this arbitration provision
You are a helpful assistant who can answer questions about the topic in the dataset.,What kind of disputes are referred to as 'Claims' in this section?,"Disputed factual or legal issues, whether they arose in the past, may currently exist, or may arise in the future."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can both parties pursue a claim in small claims court if it falls within the court's jurisdiction?,"Yes, they can."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I (customer) cancel or opt out of this arbitration provision in the agreement?,"Yes, you have the right to opt out of this agreement to arbitrate if"
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I opt out of an account within sixty (60) days of opening it?,By calling us at 1-800-935-9935.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the time limit for opting out of an account agreement?,More than 60 days after opening your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,"Does this agreement to arbitrate still apply even if the account is closed, all debt is paid, or a bankruptcy is filed?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,"If I opt out of this agreement to arbitrate, does my decision only apply to this specific arbitration agreement?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Are class actions or representative actions allowed to proceed in arbitration proceedings?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Are we agreeing not to seek to proceed on any class claim or consolidation?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I bring a class action or seek an award in arbitration against individuals not part of the named parties?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,"If a claim is made that requires the arbitrator to grant relief, are they prohibited from doing so?",FOR THE AVOIDANCE OF DOUBT
You are a helpful assistant who can answer questions about the topic in the dataset.,"What does the phrase “Are class action or representative proceedings” mean in the context of JPMorgan Chase Bank, N.A.'s DEPOSIT ACCOUNT AGREEMENT?","Class actions or representative proceedings are lawsuits where a single person, known as the representative, brings a claim on behalf of a larger group of people affected by a common issue."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is it allowed to proceed in arbitration proceedings?,"No, decisions should be made by a court rather than an arbitrator."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the conditions under which claims must go through arbitration instead of litigation?,All claims or requests for relief that are legally enforceable must be filed and adjudicated in arbitration.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can arbitration replace litigation in a court case?,"No, claims for which arbitration is not legally enforceable must go to court."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to court decisions after arbitration is completed?,The court will not be bound by the arbitrator's determination when litigation resumes.
You are a helpful assistant who can answer questions about the topic in the dataset.,"If the prohibition on an award of public injunctive relief is deemed unenforceable, what happens next?",The request for public injunctive relief will then be decided through litigation in a court after other claims seeking different relief have been adjudicated in arbitration.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an arbitrator make an award on behalf of a non-party individual?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the requirements for a third party to be included as a party in an arbitration?,it must be named and comply with the rules of procedure governing the arbitration
You are a helpful assistant who can answer questions about the topic in the dataset.,"What does it mean to be part of the JPMorgan Chase Bank, N.A. account?","You include anyone listed on your account or claiming a right or interest in your account, and we include JPMorgan Chase Bank, N.A., its affiliates, and third-party beneficiaries."
You are a helpful assistant who can answer questions about the topic in the dataset.,What constitutes the scope of this agreement regarding third parties and claims?,"Parties regarded as agents or representatives of ours in connection with a claim, including unaffiliated third parties to whom we assign an account."
You are a helpful assistant who can answer questions about the topic in the dataset.,How does arbitration work?,"Arbitrations between us shall be administered by the American Arbitration Association (“AAA”). AAA shall apply its Consumer Arbitration Rules in effect at the time the arbitration proceeding is initiated. ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
Arbitrations between us shall be administered by the American Arbitration Association (“AAA”). ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
AAA shall apply its Consumer Arbitration Rules in effect at the time the arbitration proceeding is initiated. ​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​
"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the current rule for mass arbitration?,The Mass Arbitration Supplementary Rules are currently available at https://www.adr.org/sites/default/files/Mass_Arbitration_Supplementary_Rules.pdf. A single arbitrator shall conduct procedure.
You are a helpful assistant who can answer questions about the topic in the dataset.,What arbitrators will conduct each mass arbitration case under the AAA rules?,A Process Arbitrator and single Merits Arbitrator
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if AAA cannot handle the claim?,The matter will be arbitrated by a neutral arbitrator.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the grounds for an arbitrator to decide dispositive issues of law in a dispute between parties?,"The Parties agree that, upon motion by either of us, any arbitrator shall have the power to decide dispositive issues of law pursuant to the AAA rules of procedure."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the basis for deciding the claim in this case?,"Consistent with Federal Rules of Civil Procedure 12 and 56, and will decide the Claim in accordance with all applicable substantive law."
You are a helpful assistant who can answer questions about the topic in the dataset.,What does the arbitration clause require the arbitrator to consider when awarding damages or relief?,"The principles of equity, privilege recognized by law, and the terms of the agreement."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the confidentiality terms for pleadings, information, and documents in arbitration?","All pleadings, information and documents exchanged, and the arbitrator's ruling shall be treated as confidential and have no precedential value. However, if either Party seeks to confirm"
You are a helpful assistant who can answer questions about the topic in the dataset.,Is the arbitrator's decision final?,"No, unless appealed pursuant to the terms in this section."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of an arbitration ruling?,"The ruling will be final, binding, and enforceable by any court having jurisdiction."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the grounds for appealing an arbitration award?,A party may only appeal on the grounds that the Arbitration Award is based upon an error of law that is material and prejudicial (reviewed de novo) and/or
You are a helpful assistant who can answer questions about the topic in the dataset.,What appeals can be made to a tribunal in a dispute?,"A determination of facts that are erroneous (reviewed for clear error), solely based on the record before the arbitrator."
