prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I open a VA custodian account or representative payee account to receive Social Security payments?,"Yes, you can."
You are a helpful assistant who can answer questions about the topic in the dataset.,Are there any unauthorized deposits allowed in the account?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the person entitled to receive financial benefits from a fund?,The beneficiary
You are a helpful assistant who can answer questions about the topic in the dataset.,Can estate funds be taken from accounts owned by the beneficiary or the representative after the beneficiary's death?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the VA custodian's responsibilities and authority in managing an account?,We have no liability when we follow or refuse to follow any instructions from a representative payee/VA custodian.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if the representative payee or VA custodian misuses the authority granted to them?,We reserve our rights in such accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents are required for account opening?,Any documents deemed necessary by the provider to verify account authorization and ensure compliance with regulations.
You are a helpful assistant who can answer questions about the topic in the dataset.,Do you have any fiduciary duties to me as a beneficiary of this account?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Does TINUES still have authority to manage the account?,We have no liability when we follow or refuse to follow any instructions from a fiduciary.
You are a helpful assistant who can answer questions about the topic in the dataset.,What documents can be relied upon for the original terms of a trust agreement?,The Chase Certification of Trust
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I name a supporter to assist me with my financial decisions in some states?,"In certain states, yes."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a supporter in this context?,A person who assists you in gathering information to help you make decisions about your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What role can a supporter play regarding transactions on an account?,"A supporter may not transact on the account, but can request and receive account information"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I designate a trusted contact person for my personal Chase deposit accounts?,"Yes, you may have the option to name a Trusted Contact Person (TCP) on your personal Chase deposit account(s), who is someone you authorize to be contacted by us, like an emergency contact."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a TCP (Third-Party Log-in) access or make transactions on my account?,"No, a TCP has no obligation to act on any instructions or request by a TCP in relation to your accounts."
You are a helpful assistant who can answer questions about the topic in the dataset.,What information must I provide to use TCP?,You must agree to the additional disclosures and specific terms.
You are a helpful assistant who can answer questions about the topic in the dataset.,What business organizations are not allowed to use a Business Account for personal purposes?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What is payable for an account of a business organization?,The business organization itself
You are a helpful assistant who can answer questions about the topic in the dataset.,What is an example of a qualified entity for tax purposes?,"An organization or entity that meets certain criteria, including being a government agency, non-profit group, or other type of organization that is not held by an individual in a professional capacity."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is defined as a signer for an account?,A person authorized to sign checks or otherwise initiate transactions on the account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What does it mean for an owner to be a sole proprietorship?,"A sole proprietorship is when one person conducts the business as their own property, without a separate organization."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a married couple open an account as a sole proprietorship?,"Business accounts are payable only to or on the order of the business, and not to any individual director, shareholder, member or partner thereof except as they may be a payee on a cheque."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is considered an invalid reason for closing a bank account?,Any item or other account drawn on the account
You are a helpful assistant who can answer questions about the topic in the dataset.,"Are the account details provided true, accurate, complete, and will they be kept up-to-date?",Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Is the relationship between me and your company a debtor/creditor relationship rather than a fiduciary one?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What should I do if I change my form of ownership or authorized signers with my DEPOSIT ACCOUNT AGREEMENT?,You must notify us when the change occurs.
You are a helpful assistant who can answer questions about the topic in the dataset.,What endorsement on a check allows it to be deposited?,For deposit
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a signer of a check authorize a bank to close an account?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of accounts require notification to the state agency in case of an overdraft or check dishonor?,"A California trust account, including an IOLTA (Interest on Lawyers Trust Accounts) account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is the CCPA applicable to personal information collected under certain other laws like the Gramm-Leach-Bliley Act and the Fair Credit Reporting Act?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are excluded from the CPA,"Transactions that are not for commercial purposes, such as personal, family or household use"
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens when we receive an electronic deposit to my account?,You will receive no additional notification other than the one on your next statement.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a bank deduct an amount from my account if they claim it was sent in error or intended for another customer?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is an endorsement on a check?,A stamp or other mark made on a check to transfer the check to another person.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the implication of endorsing a check?,"A deposited check with a stamped or facsimile endorsement will be treated as if the endorsement was actual, and the bank is not bound by any conditional or restrictive endorsements."
You are a helpful assistant who can answer questions about the topic in the dataset.,What areas of a check are not allowed to contain client information?,The right side and the back (excluding the check number)
You are a helpful assistant who can answer questions about the topic in the dataset.,What information should not appear on the back of a check?,Payee or customer information
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my responsibilities if the bank loses a check?,You agree to use reasonable efforts to help us locate the lost check.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is not our responsibility regarding checks?,"We will not be liable for the lack of care of any bank or third party we use to collect checks, or for checks lost during shipping."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I present contaminated cash on a collection basis?,We will not add funds to your balance until we are credited for the contamination.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I trust your service to act only on my behalf with the Federal Reserve and U.S. Treasury?,We act only on your behalf with the Federal Reserve and U.S. Treasury.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can charges or fees still be assessed despite being credited for contaminated cash or if funds have already been credited?,"Yes, according to the terms and conditions, these charges may be assessed even in such cases."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the property owner refuse a deposit after initially accepting it?,"Yes, they may refuse to accept any third-party check for any reason and require verification of any end."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens if the bank refuses a deposit?,"['return the check', 'return a substitute check', 'send the check on a collection basis']"
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you accept a deposit that would cause you to decline existing transactions?,"No, and may take a check or other instrument for collection."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will you add funds to my balance after being paid for an item or check deposit?,"No, funds are only added when actual payment is received."
You are a helpful assistant who can answer questions about the topic in the dataset.,Will you deduct the collections or processing fee charged by another bank from my account if it is deducted from the amount credited to me?,"Yes, these charges will be assessed and deducted from your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is mutilated cash accepted?,"No, it is not."
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to mutilated cash deposited into a bank?,The bank may adjust the amount and destroy it at their discretion.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of Asury's Bureau of Engraving and Printing?,It is for examination.
